date,demand,RRP,min_temperature,max_temperature,solar_exposure,rainfall,school_day,holiday
2015-12-03,121699.425,43.34422421,12.2,21.3,30.1,0,Y,N
2015-12-04,129148.52,66.53389405,11.3,30.8,32.2,0,Y,N
2015-12-05,115606.005,36.90686862,15.5,25.3,27.9,0,Y,N
2015-12-06,112025.29,36.78833221,15.3,29.8,13.5,0,Y,N
2015-12-07,129059.645,53.36909872,18.1,27.3,8.7,0,Y,N
2015-12-08,136800.91,57.53424668,20.3,35.4,19.8,0.8,Y,N
2015-12-09,125965.02,49.73700573,15.4,24.6,27,0,Y,N
2015-12-10,125807.495,50.80601367,13.1,26,32,0,Y,N
2015-12-11,116597.81,32.02012919,14.2,19.2,13,0,Y,N
2015-12-12,106139.41,34.14289792,10.1,18.3,27.9,2,Y,N
2015-12-13,105218.515,40.30682955,10.3,28.3,28.6,0,Y,N
2015-12-14,125784.96,51.74782952,11.9,22.7,31.6,0,Y,N
2015-12-15,129077.41,51.66083017,14.4,24.6,30.3,0,Y,N
2015-12-16,135930.08,78.64591999,15.6,27.5,32.5,0,Y,N
2015-12-17,152366.3,188.0861252,16.9,37.2,33.1,0,Y,N
2015-12-18,158052.89,81.19248625,19.4,35.4,31.2,0,N,N
2015-12-19,154924.89,69.32882082,19.2,41.2,20.5,0,N,N
2015-12-20,133421.03,54.64980429,25.9,37.8,10.4,0,N,N
2015-12-21,113802.21,49.62125192,15,20.2,25.4,6,N,N
2015-12-22,119477.515,37.53130427,12,22.8,32.9,0,N,N
2015-12-23,126553.115,39.13822083,15.1,26,32.4,0,N,N
2015-12-24,134583.25,50.81827517,16.7,34.6,32.8,0.4,N,N
2015-12-25,119950.37,22.11558624,21.7,34.1,33.3,0,N,Y
2015-12-26,95093.295,14.96710809,12.7,20,19.2,30.6,N,Y
2015-12-27,96394.94,19.82318359,11.9,19.4,27.6,5.2,N,N
2015-12-28,100048.44,20.09753992,12.8,20.8,33.2,0,N,Y
2015-12-29,111647.54,27.33170157,12.4,23.9,33,0,N,N
2015-12-30,128552.135,43.82687479,13.9,34.7,32.8,0,N,N
2015-12-31,146473.835,101.9915588,19.7,39.7,29.6,0,N,N
2016-01-01,116040.925,32.52767336,19.8,24.2,22,0,N,Y
2016-01-02,99622.64,21.89456076,17.1,27.6,25.1,0,N,N
2016-01-03,97656.445,19.8953848,17.5,27.1,25.7,0,N,N
2016-01-04,110932.505,25.44347924,16.3,26,15.3,0,N,N
2016-01-05,117873.58,29.91718737,17.1,25.7,25.8,0,N,N
2016-01-06,115064.265,31.79025205,17.3,25.7,18.1,0,N,N
2016-01-07,112392.695,34.44506917,16.3,21.3,30.4,0,N,N
2016-01-08,111879.54,36.88815616,16.2,20.6,25.4,0,N,N
2016-01-09,105482.695,41.98782325,16.8,21.4,21.3,0,N,N
